Date,SPX.Index,STI.Index,FBMKLCI.Index,JCI.Index,SET.Index,PCOMP.Index
2000-11-27,1348.97,2028.88,731.09,431.24,284.73,1434.25
2000-11-28,1336.09,2020.7,738.42,426.943,283.67,1418.04
2000-11-29,1341.91,2018.39,732.25,425.302,282.9,1404.83
2000-11-30,1314.95,2010.8,729.95,429.214,277.92,
2000-12-01,1315.23,2002.03,725.69,427.552,273.86,1386.25
2000-12-04,1324.97,1978.74,723.76,429.904,271.47,1381.83
2000-12-05,1376.54,1995.86,729.5,431.435,,1381.23
2000-12-06,1351.46,2019.94,741,433.722,272.03,1393.29
2000-12-07,1343.55,2000.87,735.97,435.642,272.71,1390.67
2000-12-08,1369.89,2003.15,733.49,431.808,273.69,1400.36
2000-12-11,1380.2,2051.04,736.09,421.473,,1393.71
2000-12-12,1371.18,2038.91,724.89,415.177,269.62,1398.15
2000-12-13,1359.99,2070.54,719.25,420.438,271.92,1395.2
2000-12-14,1340.93,2037.49,712.5,419.196,271.29,1398.87
2000-12-15,1312.15,1993.95,700.44,423.684,273.17,1403.39
2000-12-18,1322.74,2027.41,711.1,418.553,271.19,1408.19
2000-12-19,1305.6,2018.31,710.86,418.783,271.09,1413.99
2000-12-20,1264.74,1975.33,705.51,414.87,269.91,1447.65
2000-12-21,1274.86,1941.33,700.96,415.103,269.85,1426.05
2000-12-22,1305.97,1947.18,696.39,416.321,267.09,1429.17
2000-12-25,,,,,266.52,
2000-12-26,1315.19,1941.6,679.64,,264.86,1467.82
2000-12-27,1328.92,,,,266.47,1464.34
2000-12-28,1334.22,1947.01,,,267.71,1486.46
2000-12-29,1320.28,1976.65,,,269.19,1494.5
2001-01-02,1283.27,1946.44,666.63,410.205,,1448.49
2001-01-03,1347.56,1915.36,657.52,405.829,272.03,1450.96
2001-01-04,1333.34,1973.3,663.87,409.827,278.75,1475.11
2001-01-05,1298.35,2028.9,670.18,418.82,286.76,1469.08
2001-01-08,1295.86,2005.13,675,415.766,295.84,1494.38
2001-01-09,1300.8,2027.73,674.54,415.273,298.37,1531.82
2001-01-10,1313.27,2026.14,679.79,417.519,293.65,1534.15
2001-01-11,1326.82,1968.6,675.77,410.381,295.06,1515.89
2001-01-12,1318.32,1973.17,678.9,407.365,311.25,1541.65
2001-01-15,,1992.33,682.66,411.976,317.51,1567.93
2001-01-16,1326.65,1975.24,679.29,415.089,308.42,1551.79
2001-01-17,1329.47,1973.32,679.65,414.665,314.98,1458.63
2001-01-18,1347.97,1945.5,683.92,416.345,314.26,1438.21
2001-01-19,1342.54,1961.09,694.5,411.558,316.86,1452.93
2001-01-22,1342.9,1963.78,711.04,417.908,319.09,1708.06
2001-01-23,1360.4,1966.14,,415.743,325.62,1662.3
2001-01-24,1364.3,,,416.967,325.59,1665.43
2001-01-25,1357.51,,,417.13,339.68,1693.18
