Date,DBS.SP.Equity,OCBC.SP.Equity,UOB.SP.Equity
2011-01-03,1.2673,1.7701,1.4816
2011-01-04,1.276,1.7595,1.4976
2011-01-05,1.2848,1.7913,1.504
2011-01-06,1.2988,1.8231,1.5359
2011-01-07,1.3023,1.8195,1.5519
2011-01-10,1.2865,1.7948,1.5375
2011-01-11,1.2883,1.816,1.5295
2011-01-12,1.297,1.7913,1.5311
2011-01-13,1.2953,1.8195,1.5343
2011-01-14,1.2848,1.7948,1.5295
2011-01-17,1.2778,1.7877,1.5375
2011-01-18,1.29,1.7842,1.5471
2011-01-19,1.3023,1.7842,1.5551
2011-01-20,1.29,1.7665,1.5439
2011-01-21,1.2953,1.7577,1.5407
2011-01-24,1.2988,1.7489,1.5535
2011-01-25,1.3005,1.7347,1.5551
2011-01-26,1.3162,1.7612,1.5854
2011-01-27,1.318,1.7595,1.5854
2011-01-28,1.3232,1.7648,1.595
2011-01-31,1.3127,1.7436,1.5806
2011-02-01,1.311,1.7365,1.5886
2011-02-02,1.3232,1.7418,1.5886
2011-02-07,1.3267,1.7365,1.5726
2011-02-08,1.3215,1.7224,1.5631
2011-02-09,1.3093,1.7029,1.5359
2011-02-10,1.2953,1.6941,1.5024
2011-02-11,1.2935,1.68,1.4848
2011-02-14,1.3093,1.6853,1.5104
2011-02-15,1.3058,1.6676,1.5088
2011-02-16,1.2848,1.68,1.5056
2011-02-17,1.2743,1.687,1.4944
2011-02-18,1.276,1.6623,1.5008
2011-02-21,1.2656,1.6464,1.4721
2011-02-22,1.2463,1.6376,1.4545
2011-02-23,1.2463,1.6341,1.4625
2011-02-24,1.2411,1.6217,1.4369
2011-02-25,1.2516,1.6358,1.4561
2011-02-28,1.2393,1.627,1.4417
2011-03-01,1.2603,1.6517,1.4689
2011-03-02,1.2376,1.6341,1.4657
2011-03-03,1.2393,1.6341,1.4561
2011-03-04,1.2411,1.6429,1.4768
2011-03-07,1.2533,1.6411,1.4848
2011-03-08,1.2708,1.6747,1.5136
2011-03-09,1.2638,1.6517,1.4992
2011-03-10,1.2603,1.6535,1.504
2011-03-11,1.2551,1.6376,1.496
2011-03-14,1.2638,1.6376,1.4848
2011-03-15,1.2306,1.6005,1.4577
2011-03-16,1.2306,1.6093,1.4545
2011-03-17,1.2271,1.5934,1.4465
2011-03-18,1.2236,1.5899,1.4465
2011-03-21,1.2481,1.6058,1.4593
2011-03-22,1.2481,1.6164,1.4625
2011-03-23,1.2446,1.6341,1.4625
2011-03-24,1.2446,1.6429,1.48
2011-03-25,1.2516,1.6623,1.4832
2011-03-28,1.2533,1.6517,1.4784
2011-03-29,1.2673,1.6517,1.48
2011-03-30,1.269,1.6711,1.5024
2011-03-31,1.242,1.6268,1.4526
2011-04-01,1.2488,1.6285,1.4665
2011-04-04,1.2471,1.6387,1.4696
2011-04-05,1.2488,1.6285,1.4634
2011-04-06,1.2488,1.6471,1.4758
2011-04-07,1.2488,1.6556,1.516
2011-04-08,1.2556,1.6573,1.5083
2011-04-11,1.2403,1.6454,1.4974
2011-04-12,1.242,1.6217,1.499
2011-04-13,1.2556,1.637,1.5144
2011-04-14,1.2556,1.6471,1.5175
2011-04-15,1.2437,1.6454,1.5129
2011-04-18,1.2352,1.6285,1.5113
2011-04-19,1.2369,1.5826,1.4974
2011-04-20,1.2505,1.5945,1.5191
2011-04-21,1.2675,1.6081,1.5392
2011-04-25,1.2692,1.6047,1.5392
